Sample Volume (ml)	50.000000 
Titrant normality	0.050000 
Equivalent Volume (ml)	2.024897 
ANC (eq/L)	0.002025 
correlation coefficient	0.999524 

Titrant Volume (ml)	pH	F1
0.000000	5.921717	0.000001
0.250000	5.950802	0.000001
0.500000	5.971941	0.000001
0.750000	5.974775	0.000001
1.000000	5.978192	0.000001
1.250000	5.978839	0.000001
1.500000	5.974738	0.000001
1.750000	5.948938	0.000001
2.000000	5.049283	0.000009
2.100000	4.285849	0.000054
2.200000	3.899857	0.000131
2.300000	3.716064	0.000201
